Do you prefer a structured or flexible work environment?,Are you more comfortable with a formal or casual work atmosphere?,How do you prefer to collaborate with colleagues?,Are you more productive when working independently or as part of a team?,"Do you prefer a hands-on, directive management style, or do you prefer more autonomy and freedom?",How do you respond to feedback and guidance from supervisors?,"How important is work-life balance to you, and what initiatives or policies do you appreciate in this regard?",What values do you prioritize in a workplace?,How important is it for you to work for a company that aligns with your personal values and beliefs?,What are your expectations regarding career development opportunities within a company?,"How do you respond to constructive feedback, and what type of feedback culture do you thrive in?",How do you prefer to celebrate successes and achievements in the workplace?,Company
Structured,Casual,Face-to-face,Independently,Autonomy,Regular check-ins,Not important,Sustainability,Very important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Team celebrations and recognition,Microsoft
Structured,Casual,Face-to-face,Part of a team,Hands-on,Regular check-ins,Moderately important,Innovation,Moderately important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Promotion,Honeywell
Structured,Casual,Virtually,Part of a team,Autonomy,Independence,Very important,Diversity and inclusivity,Not important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Personal recognition and rewards,TCS
Structured,Casual,Combination,Independently,Autonomy,Regular check-ins,Very important,Sustainability,Not important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Personal recognition and rewards,Mphasis
Structured,Formal,Face-to-face,Independently,Hands-on,Independence,Moderately important,Diversity and inclusivity,Not important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Promotion,Honeywell
Flexible,Casual,Face-to-face,Part of a team,Autonomy,Independence,Moderately important,Innovation,Moderately important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Personal recognition and rewards,TCS
Structured,Casual,Combination,Independently,Hands-on,Regular check-ins,Very important,Diversity and inclusivity,Moderately important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Team celebrations and recognition,LTIMindtree
Structured,Formal,Combination,Independently,Hands-on,Regular check-ins,Moderately important,Innovation,Moderately important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Personal recognition and rewards,Mphasis
Flexible,Casual,Combination,Independently,Hands-on,Regular check-ins,Moderately important,Innovation,Moderately important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Personal recognition and rewards,Wipro
Flexible,Casual,Face-to-face,Independently,Autonomy,Independence,Very important,Diversity and inclusivity,Very important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Promotion,Wipro
Flexible,Formal,Virtually,Independently,Autonomy,Regular check-ins,Moderately important,Diversity and inclusivity,Moderately important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Promotion,Mphasis
Structured,Formal,Combination,Independently,Hands-on,Independence,Very important,Sustainability,Very important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Team celebrations and recognition,HCL Technologies
Flexible,Casual,Face-to-face,Part of a team,Autonomy,Independence,Moderately important,Diversity and inclusivity,Moderately important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Promotion,LTIMindtree
Flexible,Formal,Virtually,Independently,Hands-on,Regular check-ins,Very important,Diversity and inclusivity,Moderately important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Promotion,TCS
Structured,Casual,Face-to-face,Part of a team,Hands-on,Independence,Not important,Diversity and inclusivity,Moderately important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Personal recognition and rewards,Microsoft
Structured,Casual,Combination,Part of a team,Hands-on,Regular check-ins,Not important,Sustainability,Not important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Promotion,HCL Technologies
Flexible,Casual,Combination,Part of a team,Autonomy,Regular check-ins,Not important,Sustainability,Not important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Team celebrations and recognition,LTIMindtree
Flexible,Formal,Virtually,Part of a team,Hands-on,Independence,Moderately important,Diversity and inclusivity,Moderately important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Promotion,LTIMindtree
Structured,Casual,Face-to-face,Independently,Hands-on,Independence,Moderately important,Sustainability,Very important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Team celebrations and recognition,Microsoft
Flexible,Formal,Face-to-face,Part of a team,Hands-on,Independence,Moderately important,Innovation,Very important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Personal recognition and rewards,Cognizant
Flexible,Casual,Face-to-face,Independently,Autonomy,Regular check-ins,Not important,Innovation,Very important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Personal recognition and rewards,Tech Mahindra
Structured,Formal,Face-to-face,Independently,Autonomy,Independence,Not important,Diversity and inclusivity,Very important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Team celebrations and recognition,Honeywell
Structured,Casual,Face-to-face,Part of a team,Hands-on,Regular check-ins,Not important,Innovation,Not important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Promotion,LTIMindtree
Flexible,Formal,Combination,Independently,Hands-on,Independence,Moderately important,Innovation,Very important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Team celebrations and recognition,Honeywell
Flexible,Formal,Virtually,Independently,Autonomy,Independence,Not important,Innovation,Moderately important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Personal recognition and rewards,ZOHO
Flexible,Casual,Face-to-face,Independently,Autonomy,Regular check-ins,Moderately important,Diversity and inclusivity,Moderately important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Promotion,Tech Mahindra
Flexible,Formal,Face-to-face,Independently,Hands-on,Regular check-ins,Moderately important,Diversity and inclusivity,Very important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Team celebrations and recognition,Mphasis
Flexible,Formal,Face-to-face,Independently,Hands-on,Regular check-ins,Not important,Diversity and inclusivity,Very important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Team celebrations and recognition,Mphasis
Structured,Casual,Combination,Part of a team,Hands-on,Independence,Not important,Sustainability,Very important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Personal recognition and rewards,Cognizant
Flexible,Casual,Virtually,Independently,Hands-on,Independence,Very important,Sustainability,Not important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Personal recognition and rewards,HCL Technologies
Flexible,Casual,Face-to-face,Part of a team,Autonomy,Independence,Not important,Innovation,Not important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Promotion,Cognizant
Flexible,Formal,Virtually,Part of a team,Hands-on,Independence,Not important,Sustainability,Moderately important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Team celebrations and recognition,Tech Mahindra
Structured,Casual,Face-to-face,Independently,Hands-on,Independence,Moderately important,Innovation,Moderately important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Promotion,Mphasis
Structured,Formal,Combination,Part of a team,Hands-on,Independence,Not important,Diversity and inclusivity,Not important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Personal recognition and rewards,Cognizant
Structured,Casual,Virtually,Independently,Autonomy,Regular check-ins,Not important,Innovation,Moderately important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Personal recognition and rewards,ZOHO
Structured,Casual,Virtually,Part of a team,Hands-on,Independence,Very important,Diversity and inclusivity,Not important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Promotion,Microsoft
Flexible,Casual,Virtually,Independently,Autonomy,Independence,Not important,Innovation,Very important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Promotion,Mphasis
Structured,Formal,Virtually,Part of a team,Hands-on,Independence,Not important,Sustainability,Moderately important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Promotion,Microsoft
Structured,Formal,Combination,Part of a team,Hands-on,Regular check-ins,Not important,Diversity and inclusivity,Very important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Personal recognition and rewards,Cognizant
Structured,Casual,Virtually,Part of a team,Autonomy,Independence,Not important,Innovation,Moderately important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Personal recognition and rewards,LTIMindtree
Flexible,Casual,Virtually,Part of a team,Hands-on,Independence,Very important,Diversity and inclusivity,Moderately important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Team celebrations and recognition,Cognizant
Flexible,Casual,Combination,Part of a team,Autonomy,Independence,Very important,Sustainability,Very important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Team celebrations and recognition,Microsoft
Structured,Casual,Virtually,Independently,Hands-on,Independence,Moderately important,Innovation,Moderately important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Team celebrations and recognition,LTIMindtree
Structured,Formal,Combination,Part of a team,Hands-on,Independence,Moderately important,Sustainability,Very important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Personal recognition and rewards,HCL Technologies
Flexible,Casual,Face-to-face,Part of a team,Autonomy,Independence,Very important,Sustainability,Moderately important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Promotion,TCS
Flexible,Formal,Virtually,Independently,Autonomy,Independence,Not important,Diversity and inclusivity,Moderately important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Personal recognition and rewards,Wipro
Structured,Casual,Face-to-face,Part of a team,Autonomy,Independence,Moderately important,Sustainability,Moderately important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Promotion,Cognizant
Flexible,Casual,Virtually,Independently,Hands-on,Regular check-ins,Moderately important,Sustainability,Not important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Team celebrations and recognition,HCL Technologies
Structured,Casual,Virtually,Independently,Hands-on,Independence,Very important,Diversity and inclusivity,Not important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Promotion,Honeywell
Structured,Casual,Combination,Part of a team,Hands-on,Independence,Moderately important,Innovation,Very important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Personal recognition and rewards,Mphasis
Structured,Formal,Combination,Part of a team,Autonomy,Regular check-ins,Very important,Innovation,Very important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Promotion,Cognizant
Structured,Casual,Combination,Independently,Hands-on,Independence,Not important,Innovation,Very important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Team celebrations and recognition,Cognizant
Structured,Formal,Combination,Independently,Hands-on,Regular check-ins,Not important,Diversity and inclusivity,Very important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Promotion,Mphasis
Structured,Casual,Virtually,Part of a team,Autonomy,Regular check-ins,Very important,Sustainability,Very important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Promotion,Tech Mahindra
Flexible,Casual,Combination,Part of a team,Hands-on,Regular check-ins,Very important,Innovation,Not important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Promotion,ZOHO
Flexible,Casual,Virtually,Part of a team,Autonomy,Regular check-ins,Very important,Diversity and inclusivity,Not important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Personal recognition and rewards,LTIMindtree
Structured,Casual,Virtually,Part of a team,Hands-on,Regular check-ins,Not important,Sustainability,Very important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Personal recognition and rewards,TCS
Flexible,Formal,Virtually,Independently,Autonomy,Independence,Not important,Innovation,Not important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Personal recognition and rewards,Wipro
Flexible,Formal,Combination,Independently,Hands-on,Independence,Not important,Diversity and inclusivity,Moderately important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Promotion,LTIMindtree
Structured,Casual,Face-to-face,Independently,Hands-on,Independence,Moderately important,Diversity and inclusivity,Moderately important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Personal recognition and rewards,Wipro
Flexible,Formal,Virtually,Independently,Autonomy,Independence,Moderately important,Diversity and inclusivity,Not important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Promotion,Honeywell
Flexible,Casual,Face-to-face,Independently,Hands-on,Independence,Moderately important,Innovation,Very important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Promotion,ZOHO
Structured,Formal,Combination,Independently,Hands-on,Independence,Moderately important,Sustainability,Very important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Promotion,TCS
Structured,Formal,Virtually,Part of a team,Hands-on,Independence,Very important,Innovation,Not important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Promotion,Honeywell
Structured,Formal,Combination,Part of a team,Autonomy,Regular check-ins,Very important,Sustainability,Moderately important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Promotion,Microsoft
Flexible,Formal,Face-to-face,Independently,Autonomy,Independence,Not important,Innovation,Moderately important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Promotion,Wipro
Flexible,Casual,Combination,Independently,Autonomy,Independence,Very important,Sustainability,Not important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Promotion,LTIMindtree
Flexible,Casual,Combination,Part of a team,Autonomy,Regular check-ins,Very important,Diversity and inclusivity,Moderately important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Team celebrations and recognition,Honeywell
Flexible,Casual,Face-to-face,Independently,Hands-on,Regular check-ins,Moderately important,Innovation,Moderately important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Promotion,ZOHO
Structured,Casual,Face-to-face,Independently,Hands-on,Independence,Moderately important,Diversity and inclusivity,Very important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Team celebrations and recognition,Cognizant
Flexible,Formal,Face-to-face,Independently,Autonomy,Independence,Very important,Diversity and inclusivity,Not important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Promotion,Mphasis
Structured,Formal,Virtually,Independently,Hands-on,Independence,Very important,Innovation,Moderately important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Personal recognition and rewards,Wipro
Structured,Casual,Face-to-face,Independently,Hands-on,Independence,Very important,Innovation,Moderately important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Team celebrations and recognition,Honeywell
Structured,Formal,Combination,Independently,Autonomy,Independence,Moderately important,Diversity and inclusivity,Not important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Personal recognition and rewards,LTIMindtree
Structured,Casual,Combination,Independently,Hands-on,Regular check-ins,Moderately important,Diversity and inclusivity,Very important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Promotion,Cognizant
Structured,Casual,Face-to-face,Part of a team,Hands-on,Independence,Not important,Diversity and inclusivity,Not important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Promotion,Microsoft
Structured,Casual,Combination,Independently,Autonomy,Independence,Moderately important,Sustainability,Very important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Personal recognition and rewards,Honeywell
Structured,Casual,Combination,Independently,Autonomy,Independence,Not important,Sustainability,Very important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Personal recognition and rewards,Mphasis
Structured,Casual,Combination,Part of a team,Autonomy,Independence,Not important,Innovation,Very important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Promotion,Microsoft
Flexible,Casual,Combination,Part of a team,Autonomy,Independence,Not important,Sustainability,Very important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Personal recognition and rewards,Tech Mahindra
Structured,Casual,Virtually,Independently,Autonomy,Independence,Very important,Innovation,Not important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Team celebrations and recognition,ZOHO
Flexible,Formal,Combination,Part of a team,Hands-on,Independence,Moderately important,Sustainability,Very important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Personal recognition and rewards,Cognizant
Structured,Formal,Virtually,Independently,Hands-on,Independence,Not important,Sustainability,Moderately important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Promotion,LTIMindtree
Flexible,Formal,Face-to-face,Independently,Autonomy,Regular check-ins,Not important,Innovation,Moderately important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Team celebrations and recognition,Microsoft
Flexible,Casual,Virtually,Part of a team,Autonomy,Regular check-ins,Not important,Innovation,Moderately important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Promotion,ZOHO
Structured,Casual,Combination,Independently,Autonomy,Independence,Very important,Innovation,Moderately important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Team celebrations and recognition,HCL Technologies
Flexible,Formal,Combination,Part of a team,Autonomy,Independence,Not important,Sustainability,Very important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Personal recognition and rewards,Tech Mahindra
Structured,Formal,Combination,Part of a team,Hands-on,Independence,Very important,Sustainability,Not important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Team celebrations and recognition,Mphasis
Structured,Casual,Combination,Part of a team,Hands-on,Regular check-ins,Not important,Diversity and inclusivity,Very important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Team celebrations and recognition,Honeywell
Structured,Casual,Face-to-face,Independently,Hands-on,Regular check-ins,Not important,Sustainability,Moderately important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Personal recognition and rewards,LTIMindtree
Flexible,Casual,Virtually,Part of a team,Autonomy,Regular check-ins,Very important,Innovation,Moderately important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Promotion,Honeywell
Structured,Casual,Combination,Part of a team,Hands-on,Regular check-ins,Not important,Innovation,Very important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Personal recognition and rewards,LTIMindtree
Flexible,Casual,Virtually,Part of a team,Autonomy,Regular check-ins,Not important,Diversity and inclusivity,Not important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Promotion,Mphasis
Structured,Formal,Combination,Part of a team,Autonomy,Regular check-ins,Moderately important,Innovation,Not important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Team celebrations and recognition,Cognizant
Structured,Casual,Virtually,Independently,Hands-on,Independence,Not important,Sustainability,Very important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Team celebrations and recognition,Tech Mahindra
Structured,Casual,Face-to-face,Independently,Hands-on,Regular check-ins,Not important,Innovation,Very important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Promotion,Microsoft
Structured,Formal,Combination,Part of a team,Hands-on,Regular check-ins,Very important,Diversity and inclusivity,Very important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Promotion,Microsoft
Flexible,Casual,Combination,Independently,Hands-on,Independence,Very important,Innovation,Very important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Personal recognition and rewards,Microsoft
Structured,Formal,Combination,Part of a team,Autonomy,Independence,Moderately important,Innovation,Moderately important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Promotion,Honeywell
Flexible,Formal,Virtually,Independently,Hands-on,Regular check-ins,Not important,Diversity and inclusivity,Very important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Team celebrations and recognition,Microsoft
Flexible,Casual,Combination,Independently,Hands-on,Independence,Moderately important,Diversity and inclusivity,Moderately important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Team celebrations and recognition,Tech Mahindra
Flexible,Casual,Virtually,Independently,Hands-on,Independence,Not important,Diversity and inclusivity,Not important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Promotion,Tech Mahindra
Structured,Casual,Face-to-face,Part of a team,Autonomy,Regular check-ins,Not important,Innovation,Moderately important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Team celebrations and recognition,Honeywell
Flexible,Formal,Combination,Part of a team,Hands-on,Independence,Very important,Innovation,Not important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Team celebrations and recognition,TCS
Structured,Formal,Face-to-face,Independently,Autonomy,Independence,Moderately important,Sustainability,Very important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Promotion,TCS
Structured,Casual,Combination,Independently,Autonomy,Independence,Not important,Sustainability,Very important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Promotion,Tech Mahindra
Flexible,Formal,Combination,Part of a team,Hands-on,Independence,Not important,Diversity and inclusivity,Very important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Personal recognition and rewards,Wipro
Flexible,Casual,Virtually,Independently,Autonomy,Regular check-ins,Not important,Innovation,Moderately important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Team celebrations and recognition,Honeywell
Flexible,Formal,Virtually,Independently,Hands-on,Regular check-ins,Moderately important,Diversity and inclusivity,Very important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Team celebrations and recognition,Honeywell
Structured,Formal,Face-to-face,Part of a team,Hands-on,Independence,Moderately important,Sustainability,Not important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Personal recognition and rewards,Honeywell
Flexible,Casual,Combination,Independently,Autonomy,Regular check-ins,Very important,Innovation,Not important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Personal recognition and rewards,ZOHO
Flexible,Formal,Virtually,Part of a team,Hands-on,Regular check-ins,Not important,Diversity and inclusivity,Moderately important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Team celebrations and recognition,Honeywell
Flexible,Formal,Face-to-face,Part of a team,Autonomy,Regular check-ins,Not important,Innovation,Very important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Promotion,Cognizant
Flexible,Casual,Virtually,Part of a team,Autonomy,Regular check-ins,Very important,Innovation,Not important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Team celebrations and recognition,TCS
Structured,Casual,Combination,Independently,Autonomy,Independence,Moderately important,Diversity and inclusivity,Not important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Promotion,TCS
Structured,Formal,Face-to-face,Part of a team,Hands-on,Independence,Very important,Diversity and inclusivity,Very important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Promotion,Wipro
Flexible,Formal,Combination,Part of a team,Autonomy,Regular check-ins,Moderately important,Sustainability,Very important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Team celebrations and recognition,Microsoft
Flexible,Casual,Face-to-face,Independently,Hands-on,Regular check-ins,Not important,Innovation,Moderately important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Personal recognition and rewards,ZOHO
Structured,Formal,Combination,Part of a team,Autonomy,Independence,Not important,Innovation,Not important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Promotion,Tech Mahindra
